screenName,user_id,created,text,retweetCount,favoriteCount,lang,source,urls,mentions_screen_name,hashtags,location
realDonaldTrump,25073877,01-08-16,"Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @nytimes is a joke. @CNN is laughable!",14235,44449,en,Twitter for Android,NA,nytimes CNN,NA,NA
realDonaldTrump,25073877,01-08-16,"Mr. Khan, who does not know me, viciously attacked me from the stage of the DNC and is now all over T.V. doing the same - Nice!",8666,27520,en,Twitter for Android,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,"This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!",12103,34199,en,Twitter for Android,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,"When I said in an interview that Putin is ""not going into Ukraine, you can mark it down,"" I am saying if I am President. Already in Crimea!",5799,18482,en,Twitter for Android,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,"So with all of the Obama tough talk on Russia and the Ukraine, they have already taken Crimea and continue to push. That's what I said!",6543,20728,en,Twitter for Android,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,"#CrookedHillary 
https://t.co/oHI6xrDJU0",8553,19021,und,Twitter for iPhone,https://t.co/oHI6xrDJU0,NA,CrookedHillary,NA
realDonaldTrump,25073877,01-08-16,"Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at: https://t.co/4nLjRGyFYw",3672,11914,en,Twitter for iPhone,https://t.co/4nLjRGyFYw,NA,NA,NA
realDonaldTrump,25073877,01-08-16,CNN will soon be the least trusted name in news if they continue to be the press shop for Hillary Clinton.,9503,27698,en,Twitter for iPhone,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,"CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs.",7836,25057,en,Twitter for iPhone,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?,12269,30145,en,Twitter for iPhone,NA,NA,NA,NA
realDonaldTrump,25073877,01-08-16,Will CNN send its cameras to the border to show the massive unreported crisis now unfolding -- or are they worried it will hurt Hillary?,11184,31996,en,Twitter for iPhone,NA,NA,NA,NA
